"sample","site","moist_grav","temp","CO2","C13","flask_vol","dry_soil","moist_vol","time_accum","tstage","qflag","sec","hour","day","air_vol","air_mol","C_R","order","C_R_r","sd.r","cv.r","sd.acc"
52,"maize",0.15,20,4919,-24.61,500,90,0.27,74,5,FALSE,6937500,1927,80.2916666666667,465.384615384615,0.0191044430745383,0.0125299673978205,438,0.169323883754332,0.06471365240497,0.295860094020189,0.00370711733238909
52,"maize",0.15,35,4963,-21.2,500,90,0.27,44,6,FALSE,7516800,2088,87,465.384615384615,0.0191044430745383,0.0126420467971912,439,0.287319245390708,0.127228330271748,0.304538493620987,0.00384998988790262
52,"maize",0.15,5,14388.2,-20.43,500,90,0.27,1695,7,FALSE,13914780,3865,161.041666666667,465.384615384615,0.0191044430745383,0.0366504730460097,440,0.0216226979622476,0.00599870132857818,0.354700213953367,0.0129999306309117
52,"maize",0.15,20,29064.08,-24.01,500,90,0.27,388,8,FALSE,15816960,4394,183.083333333333,465.384615384615,0.0191044430745383,0.0740337415831771,441,0.190808612327776,0.06471365240497,0.295860094020189,0.0219036297454652
52,"maize",0.15,35,33163.09,-23.72,500,90,0.27,160,9,FALSE,17027580,4730,197.083333333333,465.384615384615,0.0191044430745383,0.0844749820107722,442,0.527968637567326,0.127228330271748,0.304538493620987,0.0257258837702206
53,"maize",0.15,5,351,-18.59,500,90,0.27,72,1,FALSE,1332000,370,15.4166666666667,465.384615384615,0.0191044430745383,0.000894087935888394,443,0.0124178879984499,0.00599870132857818,0.354700213953367,0.000317133182152738
53,"maize",0.15,5,1169.5,-18.34,500,90,0.27,240,2,FALSE,2628000,730,30.4166666666667,465.384615384615,0.0191044430745383,0.00297901949008968,444,0.012412581208707,0.00599870132857818,0.354700213953367,0.00105665885050606
53,"maize",0.15,20,9735.5,-24.53,500,90,0.27,72,3,FALSE,5565600,1546,64.4166666666667,465.384615384615,0.0191044430745383,0.0247988407402891,445,0.344428343615126,0.06471365240497,0.295860094020189,0.00733698735301362
53,"maize",0.15,20,19196,-25.57,500,90,0.27,307,4,FALSE,6670800,1853,77.2083333333333,465.384615384615,0.0191044430745383,0.0488971852345117,446,0.159274219004924,0.06471365240497,0.295860094020189,0.0144667258208052
53,"maize",0.15,20,5317,-24.56,500,90,0.27,74,5,FALSE,6937500,1927,80.2916666666667,465.384615384615,0.0191044430745383,0.0135437765103094,447,0.183024006896073,0.06471365240497,0.295860094020189,0.00400706299172856
53,"maize",0.15,35,4919.5,-21.24,500,90,0.27,44,6,FALSE,7516800,2088,87,465.384615384615,0.0191044430745383,0.0125312410273588,448,0.284800932439974,0.127228330271748,0.304538493620987,0.00381624526567337
53,"maize",0.15,5,17231.23,-19.22,500,90,0.27,1695,7,FALSE,13912980,3865,161.041666666667,465.384615384615,0.0191044430745383,0.0438924070185703,449,0.0258952253796875,0.00599870132857818,0.354700213953367,0.0155686461604152
53,"maize",0.15,20,29296.3,-23.04,500,90,0.27,388,8,FALSE,15817440,4394,183.083333333333,465.384615384615,0.0191044430745383,0.0746252660859463,450,0.192333160015326,0.06471365240497,0.295860094020189,0.0220786382404697
53,"maize",0.15,35,32229.1,-23.73,500,90,0.27,160,9,FALSE,17028540,4730,197.083333333333,465.384615384615,0.0191044430745383,0.0820958675058138,451,0.513099171911336,0.127228330271748,0.304538493620987,0.0250013518227287
54,"maize",0.15,5,1358,-20.52,500,90,0.27,240,1,FALSE,864000,240,10,465.384615384615,0.0191044430745383,0.00345917782602974,452,0.0144132409417906,0.00599870132857818,0.354700213953367,0.00122697111499549
54,"maize",0.15,20,9080,-25.67,500,90,0.27,72,2,FALSE,3801600,1056,44,465.384615384615,0.0191044430745383,0.0231291124155744,453,0.321237672438534,0.06471365240497,0.295860094020189,0.00684298137387537
54,"maize",0.15,20,23259.5,-26.85,500,90,0.27,307,3,FALSE,4906800,1363,56.7916666666667,465.384615384615,0.0191044430745383,0.0592479724922966,454,0.19299013841139,0.06471365240497,0.295860094020189,0.0175291107120765
54,"maize",0.15,20,7099,-26.26,500,90,0.27,74,4,FALSE,5173500,1437,59.875,465.384615384615,0.0191044430745383,0.0180829921848197,455,0.24436475925432,0.06471365240497,0.295860094020189,0.0053500357679671
54,"maize",0.15,35,5851,-23.02,500,90,0.27,44,5,FALSE,5752800,1598,66.5833333333333,465.384615384615,0.0191044430745383,0.0149040128572165,456,0.338727564936739,0.127228330271748,0.304538493620987,0.00453884562444454
54,"maize",0.15,5,16214.65,-20.82,500,90,0.27,1695,6,FALSE,12150120,3375,140.625,465.384615384615,0.0191044430745383,0.0413029143864751,457,0.0243675011129646,0.00599870132857818,0.354700213953367,0.0146501525697803
54,"maize",0.15,20,33052.58,-23.92,500,90,0.27,388,7,FALSE,14054040,3904,162.666666666667,465.384615384615,0.0191044430745383,0.0841934844102166,458,0.216993516521177,0.06471365240497,0.295860094020189,0.024909492213494
54,"maize",0.15,35,35061.8,-24.44,500,90,0.27,161,8,FALSE,15266880,4241,176.708333333333,465.384615384615,0.0191044430745383,0.0893114882921131,459,0.554729740944802,0.127228330271748,0.304538493620987,0.0271987861075286
55,"maize",0.17,5,425,-19,500,90,0.306,72,1,FALSE,1332000,370,15.4166666666667,465.384615384615,0.0191044430745383,0.00108258510755717,460,0.0150359042716274,0.00554280830646622,0.273243404009351,0.000295809239918751
55,"maize",0.17,5,1133.86,-20.09,500,90,0.306,120,2,FALSE,1764000,490,20.4166666666667,465.384615384615,0.0191044430745383,0.00288823517659947,461,0.0240686264716623,0.00554280830646622,0.273243404009351,0.000789191211233589
55,"maize",0.17,5,1356,-20.36,500,90,0.306,240,3,FALSE,2628000,730,30.4166666666667,465.384615384615,0.0191044430745383,0.00345408330787653,462,0.0143920137828189,0.00554280830646622,0.273243404009351,0.000943805480776063
55,"maize",0.17,20,9062.5,-23.52,500,90,0.306,72,4,FALSE,5565600,1546,64.4166666666667,465.384615384615,0.0191044430745383,0.0230845353817338,463,0.320618546968525,0.0714656872777456,0.294113687490184,0.00678947782511935
55,"maize",0.17,20,19576,-24.47,500,90,0.306,306,5,FALSE,6667200,1852,77.1666666666667,465.384615384615,0.0191044430745383,0.0498651436836217,464,0.162957985894188,0.0714656872777456,0.294113687490184,0.0146660212860178
55,"maize",0.17,20,6366,-24.29,500,90,0.306,75,6,FALSE,6937500,1927,80.2916666666667,465.384615384615,0.0191044430745383,0.0162158512816681,465,0.216211350422242,0.0714656872777456,0.294113687490184,0.00476930381624384
