day,temp,moist
49.5,3,0.43
49.6,3.2,0.42
49.7,3.4,0.42
49.8,3.3,0.42
49.9,3.2,0.42
50,3,0.42
50.1,2.9,0.42
50.2,2.9,0.42
50.3,2.9,0.42
50.4,3,0.42
50.5,3.2,0.42
50.6,3.5,0.42
50.7,3.6,0.42
50.8,3.5,0.42
50.9,3.4,0.42
51,3.4,0.42
51.1,3.4,0.42
51.2,3.4,0.42
51.3,3.5,0.42
51.4,3.6,0.42
51.5,3.8,0.42
51.6,4,0.42
51.7,4.1,0.42
51.8,3.8,0.43
51.9,3.5,0.44
52,3.3,0.44
52.1,3,0.43
52.2,2.8,0.43
52.3,2.7,0.43
52.4,2.5,0.43
52.5,2.6,0.43
52.6,2.8,0.43
52.7,3,0.43
52.8,3,0.43
52.9,3,0.43
53,2.8,0.43
53.1,2.6,0.42
53.2,2.5,0.42
53.3,2.4,0.42
53.4,2.5,0.42
53.5,2.7,0.42
53.6,2.9,0.42
53.7,3,0.42
53.8,2.9,0.42
53.9,2.7,0.42
54,2.5,0.42
54.1,2.3,0.42
54.2,2.2,0.42
54.3,2.1,0.42
54.4,2,0.42
54.5,2.1,0.42
54.6,2.5,0.42
54.7,2.8,0.42
54.8,2.7,0.42
54.9,2.6,0.42
55,2.5,0.42
55.1,2.4,0.42
55.2,2.3,0.42
55.3,2.2,0.42
55.4,2.3,0.42
55.5,2.5,0.42
55.6,2.9,0.42
55.7,3.2,0.42
55.8,3.3,0.42
55.9,3.3,0.42
56,3.3,0.42
56.1,3.3,0.42
56.2,3.3,0.42
56.3,3.3,0.42
56.4,3.4,0.42
56.5,3.7,0.42
56.6,4.1,0.42
56.7,4.3,0.42
56.8,4.3,0.42
56.9,4.2,0.42
57,4.2,0.42
57.1,4.1,0.42
57.2,4,0.42
57.3,4,0.42
57.4,4,0.43
57.5,4.1,0.43
57.6,4.3,0.43
57.7,4.4,0.43
57.8,4.3,0.43
57.9,4.2,0.43
58,4,0.43
58.1,3.8,0.43
58.2,3.7,0.44
58.3,3.5,0.44
58.4,3.4,0.44
58.5,3.5,0.44
58.6,3.7,0.43
58.7,3.8,0.43
58.8,3.7,0.43
58.9,3.5,0.43
59,3.3,0.43
59.1,3.2,0.43
59.2,3.1,0.43
59.3,2.9,0.43
59.4,2.8,0.43
59.5,3,0.43
59.6,3.4,0.43
59.7,3.7,0.43
59.8,3.8,0.42
59.9,3.7,0.42
60,3.6,0.42
60.1,3.4,0.42
60.2,3.2,0.42
60.3,3.1,0.42
60.4,3.1,0.42
60.5,3.3,0.42
60.6,3.5,0.42
60.7,3.7,0.42
60.8,3.6,0.42
60.9,3.4,0.42
61,3.2,0.42
61.1,2.9,0.42
