sample,site,moist_grav,temp,preinc_start,preinc_end,inc_start,inc_end,CO2,C13,flask_vol,dry_soil
12,bare_fallow,9,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,4201.5,-29.32,500,90
12,bare_fallow,9,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 19:00,5707.5,-30,500,90
12,bare_fallow,9,35,22/07/11 19:00,25/07/11 20:20,25/07/11 20:20,27/07/11 16:10,3457.5,-27.79,500,90
12,bare_fallow,9,5,27/07/11 16:10,02/08/11 00:00,02/08/11 00:00,14/10/11 18:50,2302.96,-26.55,500,90
12,bare_fallow,9,35,14/10/11 18:50,17/10/11 11:00,17/10/11 11:00,18/10/11 16:08,2452.98,-27.57,500,90
12,bare_fallow,9,35,18/10/11 16:08,18/10/11 00:00,18/10/11 00:00,25/10/11 16:35,23941.76,-27.96,500,90
12,bare_fallow,9,20,25/10/11 16:35,10/11/11 00:00,10/11/11 00:00,17/11/11 17:59,8134.07,-27.35,500,90
13,bare_fallow,11,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,1130.5,-26.31,500,90
13,bare_fallow,11,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,19405,-29.78,500,90
13,bare_fallow,11,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,9448,-28.55,500,90
13,bare_fallow,11,35,22/07/11 18:00,23/07/11 20:34,23/07/11 20:34,24/07/11 17:38,2066,-27.72,500,90
13,bare_fallow,11,5,24/07/11 17:38,02/08/11 00:00,02/08/11 00:00,14/10/11 18:42,4216.52,-26.23,500,90
13,bare_fallow,11,35,14/10/11 18:42,17/10/11 11:00,17/10/11 11:00,18/10/11 15:49,2473.79,-26.21,500,90
13,bare_fallow,11,35,18/10/11 15:49,18/10/11 00:00,18/10/11 00:00,25/10/11 14:58,12797.69,-26.81,500,90
13,bare_fallow,11,20,25/10/11 14:58,10/11/11 00:00,10/11/11 00:00,17/11/11 17:49,3836.5,-26.72,500,90
14,bare_fallow,11,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,90.5,,500,90
14,bare_fallow,11,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,911.5,-28.13,500,90
14,bare_fallow,11,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,12211,-29.29,500,90
14,bare_fallow,11,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,4548.5,-28.38,500,90
14,bare_fallow,11,35,22/07/11 18:00,23/07/11 20:29,23/07/11 20:29,24/07/11 17:30,1199,-27.22,500,90
14,bare_fallow,11,5,24/07/11 17:30,02/08/11 00:00,02/08/11 00:00,14/10/11 18:20,3581.3,-27.48,500,90
14,bare_fallow,11,35,14/10/11 18:20,17/10/11 11:00,17/10/11 11:00,18/10/11 15:43,1706.27,-26.25,500,90
14,bare_fallow,11,35,18/10/11 15:43,18/10/11 00:00,18/10/11 00:00,25/10/11 16:08,8162.9,-27.08,500,90
14,bare_fallow,11,20,25/10/11 16:08,10/11/11 00:00,10/11/11 00:00,17/11/11 18:24,2741.64,-26.2,500,90
15,bare_fallow,11,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,105.2,,500,90
15,bare_fallow,11,5,19/05/11 00:00,30/05/11 00:00,30/05/11 00:00,23/06/11 00:00,579,-24.59,500,90
15,bare_fallow,11,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,11572.5,-29.92,500,90
15,bare_fallow,11,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,4663,-28.52,500,90
15,bare_fallow,11,35,22/07/11 18:00,23/07/11 20:39,23/07/11 20:39,24/07/11 17:23,1736.5,-28.49,500,90
15,bare_fallow,11,5,24/07/11 17:23,02/08/11 00:00,02/08/11 00:00,14/10/11 18:32,2350.64,-26.06,500,90
15,bare_fallow,11,35,14/10/11 18:32,17/10/11 11:00,17/10/11 11:00,18/10/11 16:57,4230.02,-27.8,500,90
15,bare_fallow,11,35,18/10/11 16:57,18/10/11 00:00,18/10/11 00:00,25/10/11 15:52,22501.07,-27.26,500,90
15,bare_fallow,11,20,25/10/11 15:52,10/11/11 00:00,10/11/11 00:00,17/11/11 17:24,6430.94,-26.82,500,90
16,bare_fallow,12,5,16/05/11 00:00,27/05/11 00:00,27/05/11 00:00,23/06/11 00:00,3737,-29.68,500,90
16,bare_fallow,12,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,12386,-29.01,500,90
16,bare_fallow,12,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,4558.5,-28.21,500,90
16,bare_fallow,12,35,22/07/11 18:00,23/07/11 20:39,23/07/11 20:39,24/07/11 17:15,1776,-27.92,500,90
16,bare_fallow,12,5,24/07/11 17:15,02/08/11 00:00,02/08/11 00:00,14/10/11 17:46,3934.09,-26.56,500,90
16,bare_fallow,12,35,14/10/11 17:46,17/10/11 11:00,17/10/11 11:00,18/10/11 16:01,3081.4,-26.75,500,90
16,bare_fallow,12,35,18/10/11 16:01,18/10/11 00:00,18/10/11 00:00,25/10/11 16:26,16318.95,-27.03,500,90
16,bare_fallow,12,20,25/10/11 16:26,10/11/11 00:00,10/11/11 00:00,17/11/11 17:08,3539.25,-26.65,500,90
17,bare_fallow,12,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,106.1,,500,90
17,bare_fallow,12,5,19/05/11 00:00,27/05/11 00:00,27/05/11 00:00,23/06/11 00:00,638.5,-25.88,500,90
17,bare_fallow,12,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,14354,-29.53,500,90
17,bare_fallow,12,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,5343.5,-28.13,500,90
17,bare_fallow,12,35,22/07/11 18:00,23/07/11 20:39,23/07/11 20:39,24/07/11 16:59,1196.5,-26.76,500,90
17,bare_fallow,12,5,24/07/11 16:59,02/08/11 00:00,02/08/11 00:00,14/10/11 17:56,3796.03,-27.07,500,90
17,bare_fallow,12,35,14/10/11 17:56,17/10/11 11:00,17/10/11 11:00,18/10/11 15:54,1437.73,-25.92,500,90
17,bare_fallow,12,35,18/10/11 15:54,18/10/11 00:00,18/10/11 00:00,25/10/11 13:54,7659.86,-26.92,500,90
17,bare_fallow,12,20,25/10/11 13:54,10/11/11 00:00,10/11/11 00:00,17/11/11 17:16,3167.59,-26.22,500,90
18,bare_fallow,12,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,148.8,,500,90
18,bare_fallow,12,5,19/05/11 00:00,27/05/11 00:00,27/05/11 00:00,23/06/11 00:00,1095,-26.23,500,90
