"sample","hour","temp","moist","litter_met","litter_str"
13,841,293,0.198,0,0
13,1554,293,0.198,0,0
13,1555,308,0.198,0,0
13,1602,308,0.198,0,0
13,1603,278,0.198,0,0
13,3571,278,0.198,0,0
13,3572,308,0.198,0,0
13,3831,308,0.198,0,0
13,3832,293,0.198,0,0
13,4386,293,0.198,0,0
14,0,278,0.198,0,0
14,1210,278,0.198,0,0
14,1211,293,0.198,0,0
14,1924,293,0.198,0,0
14,1925,308,0.198,0,0
14,1972,308,0.198,0,0
14,1973,278,0.198,0,0
14,3940,278,0.198,0,0
14,3941,308,0.198,0,0
14,4202,308,0.198,0,0
14,4203,293,0.198,0,0
14,4756,293,0.198,0,0
15,0,278,0.198,0,0
15,1210,278,0.198,0,0
15,1211,293,0.198,0,0
15,1924,293,0.198,0,0
15,1925,308,0.198,0,0
15,1971,308,0.198,0,0
15,1972,278,0.198,0,0
15,3941,278,0.198,0,0
15,3942,308,0.198,0,0
15,4202,308,0.198,0,0
15,4203,293,0.198,0,0
15,4755,293,0.198,0,0
16,0,278,0.216,0,0
16,912,278,0.216,0,0
16,913,293,0.216,0,0
16,1626,293,0.216,0,0
16,1627,308,0.216,0,0
16,1673,308,0.216,0,0
16,1674,278,0.216,0,0
16,3642,278,0.216,0,0
16,3643,308,0.216,0,0
16,3904,308,0.216,0,0
16,3905,293,0.216,0,0
16,4457,293,0.216,0,0
17,0,278,0.216,0,0
17,1210,278,0.216,0,0
17,1211,293,0.216,0,0
17,1924,293,0.216,0,0
17,1925,308,0.216,0,0
17,1971,308,0.216,0,0
17,1972,278,0.216,0,0
17,3940,278,0.216,0,0
17,3941,308,0.216,0,0
17,4200,308,0.216,0,0
17,4201,293,0.216,0,0
17,4755,293,0.216,0,0
18,0,278,0.216,0,0
18,1210,278,0.216,0,0
18,1211,293,0.216,0,0
18,1924,293,0.216,0,0
18,1925,308,0.216,0,0
18,1971,308,0.216,0,0
18,1972,278,0.216,0,0
18,3940,278,0.216,0,0
18,3941,308,0.216,0,0
18,4199,308,0.216,0,0
18,4200,293,0.216,0,0
18,4755,293,0.216,0,0
19,0,278,0.234,0,0
19,840,278,0.234,0,0
19,841,293,0.234,0,0
19,1554,293,0.234,0,0
19,1555,308,0.234,0,0
19,1601,308,0.234,0,0
19,1602,278,0.234,0,0
19,3567,278,0.234,0,0
19,3568,308,0.234,0,0
19,3829,308,0.234,0,0
19,3830,293,0.234,0,0
19,4385,293,0.234,0,0
20,0,278,0.234,0,0
20,1210,278,0.234,0,0
20,1211,293,0.234,0,0
20,1924,293,0.234,0,0
20,1925,308,0.234,0,0
20,1970,308,0.234,0,0
20,1971,278,0.234,0,0
20,3937,278,0.234,0,0
20,3938,308,0.234,0,0
20,4199,308,0.234,0,0
20,4200,293,0.234,0,0
20,4752,293,0.234,0,0
21,0,278,0.234,0,0
21,1210,278,0.234,0,0
21,1211,293,0.234,0,0
21,1924,293,0.234,0,0
21,1925,308,0.234,0,0
21,1971,308,0.234,0,0
21,1972,278,0.234,0,0
21,3939,278,0.234,0,0
21,3940,308,0.234,0,0
21,4197,308,0.234,0,0
21,4198,293,0.234,0,0
21,4754,293,0.234,0,0
22,0,278,0.27,0,0
22,720,278,0.27,0,0
22,721,293,0.27,0,0
22,1434,293,0.27,0,0
22,1435,308,0.27,0,0
22,1481,308,0.27,0,0
22,1482,278,0.27,0,0
22,3447,278,0.27,0,0
22,3448,308,0.27,0,0
22,3708,308,0.27,0,0
22,3709,293,0.27,0,0
22,4264,293,0.27,0,0
23,0,278,0.27,0,0
23,994,278,0.27,0,0
23,995,293,0.27,0,0
23,1924,293,0.27,0,0
23,1925,308,0.27,0,0
23,1970,308,0.27,0,0
23,1971,278,0.27,0,0
23,3936,278,0.27,0,0
23,3937,308,0.27,0,0
23,4200,308,0.27,0,0
23,4201,293,0.27,0,0
23,4754,293,0.27,0,0
24,0,278,0.27,0,0
24,994,278,0.27,0,0
24,995,293,0.27,0,0
24,1924,293,0.27,0,0
24,1925,308,0.27,0,0
24,1970,308,0.27,0,0
24,1971,278,0.27,0,0
24,3940,278,0.27,0,0
24,3941,308,0.27,0,0
24,4201,308,0.27,0,0
24,4202,293,0.27,0,0
24,4754,293,0.27,0,0
25,0,278,0.306,0,0
25,840,278,0.306,0,0
25,841,293,0.306,0,0
25,1553,293,0.306,0,0
25,1554,308,0.306,0,0
25,1600,308,0.306,0,0
25,1601,278,0.306,0,0
25,3565,278,0.306,0,0
25,3566,308,0.306,0,0
25,3830,308,0.306,0,0
25,3831,293,0.306,0,0
25,4383,293,0.306,0,0
26,0,278,0.306,0,0
26,994,278,0.306,0,0
26,995,293,0.306,0,0
26,1922,293,0.306,0,0
26,1923,308,0.306,0,0
26,1970,308,0.306,0,0
26,1971,278,0.306,0,0
26,3935,278,0.306,0,0
26,3936,308,0.306,0,0
26,4197,308,0.306,0,0
26,4198,293,0.306,0,0
26,4753,293,0.306,0,0
27,0,278,0.306,0,0
27,994,278,0.306,0,0
27,995,293,0.306,0,0
27,1922,293,0.306,0,0
27,1923,308,0.306,0,0
27,1970,308,0.306,0,0
27,1971,278,0.306,0,0
27,3935,278,0.306,0,0
27,3936,308,0.306,0,0
27,4200,308,0.306,0,0
27,4201,293,0.306,0,0
27,4754,293,0.306,0,0
28,0,278,0.342,0,0
28,360,278,0.342,0,0
28,361,293,0.342,0,0
28,1552,293,0.342,0,0
28,1553,308,0.342,0,0
28,1600,308,0.342,0,0
28,1601,278,0.342,0,0
28,3499,278,0.342,0,0
28,3500,308,0.342,0,0
28,3831,308,0.342,0,0
28,3832,293,0.342,0,0
28,4384,293,0.342,0,0
29,0,278,0.342,0,0
29,730,278,0.342,0,0
29,731,293,0.342,0,0
29,1922,293,0.342,0,0
29,1923,308,0.342,0,0
29,1969,308,0.342,0,0
29,1970,278,0.342,0,0
29,3934,278,0.342,0,0
29,3935,308,0.342,0,0
29,4200,308,0.342,0,0
29,4201,293,0.342,0,0
29,4753,293,0.342,0,0
30,0,278,0.342,0,0
30,730,278,0.342,0,0
30,731,293,0.342,0,0
30,1922,293,0.342,0,0
30,1923,308,0.342,0,0
30,1970,308,0.342,0,0
30,1971,278,0.342,0,0
30,3934,278,0.342,0,0
30,3935,308,0.342,0,0
30,4200,308,0.342,0,0
30,4201,293,0.342,0,0
30,4753,293,0.342,0,0
31,0,278,0.378,0,0
31,360,278,0.378,0,0
31,361,293,0.378,0,0
31,1552,293,0.378,0,0
31,1553,308,0.378,0,0
31,1599,308,0.378,0,0
31,1600,278,0.378,0,0
31,3499,278,0.378,0,0
31,3500,308,0.378,0,0
31,3831,308,0.378,0,0
31,3832,293,0.378,0,0
31,4382,293,0.378,0,0
32,0,278,0.378,0,0
32,730,278,0.378,0,0
32,731,293,0.378,0,0
32,1922,293,0.378,0,0
32,1923,308,0.378,0,0
32,1969,308,0.378,0,0
32,1970,278,0.378,0,0
32,3869,278,0.378,0,0
32,3870,308,0.378,0,0
32,4201,308,0.378,0,0
32,4202,293,0.378,0,0
32,4751,293,0.378,0,0
33,0,278,0.378,0,0
33,730,278,0.378,0,0
33,731,293,0.378,0,0
33,1922,293,0.378,0,0
33,1923,308,0.378,0,0
33,1969,308,0.378,0,0
33,1970,278,0.378,0,0
33,3868,278,0.378,0,0
33,3869,308,0.378,0,0
33,4202,308,0.378,0,0
33,4203,293,0.378,0,0
33,4752,293,0.378,0,0
34,0,278,0.018,0,0
34,994,278,0.018,0,0
34,995,293,0.018,0,0
34,1978,293,0.018,0,0
34,1979,308,0.018,0,0
34,2088,308,0.018,0,0
34,2089,278,0.018,0,0
34,3943,278,0.018,0,0
34,3944,308,0.018,0,0
34,4714,308,0.018,0,0
35,0,278,0.018,0,0
35,994,278,0.018,0,0
35,995,293,0.018,0,0
35,1978,293,0.018,0,0
35,1979,308,0.018,0,0
35,2088,308,0.018,0,0
35,2089,278,0.018,0,0
35,3943,278,0.018,0,0
35,3944,308,0.018,0,0
35,4714,308,0.018,0,0
36,0,278,0.018,0,0
36,994,278,0.018,0,0
36,995,293,0.018,0,0
36,1978,293,0.018,0,0
36,1979,308,0.018,0,0
36,2088,308,0.018,0,0
36,2089,278,0.018,0,0
36,3943,278,0.018,0,0
36,3944,308,0.018,0,0
36,4714,308,0.018,0,0
37,0,278,0.054,0,0
37,840,278,0.054,0,0
37,841,293,0.054,0,0
37,1556,293,0.054,0,0
37,1557,308,0.054,0,0
37,1671,308,0.054,0,0
37,1672,278,0.054,0,0
37,3498,278,0.054,0,0
37,3499,293,0.054,0,0
37,4368,293,0.054,0,0
38,0,278,0.1134,0,0
38,720,278,0.1134,0,0
38,721,293,0.1134,0,0
38,1436,293,0.1134,0,0
38,1437,308,0.1134,0,0
38,1551,308,0.1134,0,0
38,1552,278,0.1134,0,0
38,3378,278,0.1134,0,0
38,3379,293,0.1134,0,0
38,4248,293,0.1134,0,0
39,0,278,0.117,0,0
39,1224,278,0.117,0,0
39,1225,293,0.117,0,0
39,1940,293,0.117,0,0
39,1941,308,0.117,0,0
39,2055,308,0.117,0,0
39,2056,278,0.117,0,0
39,3882,278,0.117,0,0
39,3883,293,0.117,0,0
39,4752,293,0.117,0,0
40,0,278,0.126,0,0
40,994,278,0.126,0,0
40,995,293,0.126,0,0
40,1928,293,0.126,0,0
40,1929,308,0.126,0,0
40,2038,308,0.126,0,0
40,2039,278,0.126,0,0
40,3867,278,0.126,0,0
40,3868,293,0.126,0,0
40,4396,293,0.126,0,0
40,4397,308,0.126,0,0
40,4732,308,0.126,0,0
41,0,278,0.126,0,0
41,994,278,0.126,0,0
41,995,293,0.126,0,0
41,1998,293,0.126,0,0
41,1999,308,0.126,0,0
41,2038,308,0.126,0,0
41,2039,278,0.126,0,0
41,3867,278,0.126,0,0
41,3868,293,0.126,0,0
41,4396,293,0.126,0,0
41,4397,308,0.126,0,0
41,4732,308,0.126,0,0
42,0,278,0.126,0,0
42,624,278,0.126,0,0
42,625,293,0.126,0,0
42,1556,293,0.126,0,0
42,1557,308,0.126,0,0
42,1668,308,0.126,0,0
42,1669,278,0.126,0,0
42,3498,278,0.126,0,0
42,3499,293,0.126,0,0
42,4026,293,0.126,0,0
42,4027,308,0.126,0,0
42,4363,308,0.126,0,0
43,0,278,0.162,0,0
43,960,278,0.162,0,0
43,961,293,0.162,0,0
43,1893,293,0.162,0,0
43,1894,308,0.162,0,0
43,2006,308,0.162,0,0
43,2007,278,0.162,0,0
43,3833,278,0.162,0,0
43,3834,293,0.162,0,0
43,4362,293,0.162,0,0
43,4363,308,0.162,0,0
43,4698,308,0.162,0,0
44,0,278,0.162,0,0
44,960,278,0.162,0,0
44,961,293,0.162,0,0
44,1893,293,0.162,0,0
44,1894,308,0.162,0,0
44,2004,308,0.162,0,0
44,2005,278,0.162,0,0
44,3833,278,0.162,0,0
44,3834,293,0.162,0,0
44,4362,293,0.162,0,0
44,4363,308,0.162,0,0
44,4698,308,0.162,0,0
45,0,278,0.162,0,0
45,624,278,0.162,0,0
45,625,293,0.162,0,0
45,1557,293,0.162,0,0
45,1558,308,0.162,0,0
45,1670,308,0.162,0,0
45,1671,278,0.162,0,0
45,3497,278,0.162,0,0
45,3498,293,0.162,0,0
45,4026,293,0.162,0,0
45,4027,308,0.162,0,0
45,4362,308,0.162,0,0
46,0,278,0.198,0,0
46,994,278,0.198,0,0
46,995,293,0.198,0,0
46,1927,293,0.198,0,0
46,1928,308,0.198,0,0
46,2038,308,0.198,0,0
46,2039,278,0.198,0,0
46,3867,278,0.198,0,0
46,3868,293,0.198,0,0
46,4395,293,0.198,0,0
46,4396,308,0.198,0,0
46,4731,308,0.198,0,0
47,0,278,0.198,0,0
47,994,278,0.198,0,0
47,995,293,0.198,0,0
47,1927,293,0.198,0,0
47,1928,308,0.198,0,0
47,2038,308,0.198,0,0
47,2039,278,0.198,0,0
47,3866,278,0.198,0,0
47,3867,293,0.198,0,0
47,4396,293,0.198,0,0
47,4397,308,0.198,0,0
47,4731,308,0.198,0,0
48,0,278,0.198,0,0
48,624,278,0.198,0,0
48,625,293,0.198,0,0
48,1557,293,0.198,0,0
48,1558,308,0.198,0,0
48,1670,308,0.198,0,0
48,1671,278,0.198,0,0
48,3496,278,0.198,0,0
48,3497,293,0.198,0,0
48,4025,293,0.198,0,0
48,4026,308,0.198,0,0
48,4361,308,0.198,0,0
49,0,278,0.234,0,0
49,730,278,0.234,0,0
49,731,293,0.234,0,0
49,1928,293,0.234,0,0
49,1929,308,0.234,0,0
49,2088,308,0.234,0,0
49,2089,278,0.234,0,0
49,3865,278,0.234,0,0
49,3866,293,0.234,0,0
49,4395,293,0.234,0,0
49,4396,308,0.234,0,0
49,4730,308,0.234,0,0
50,0,278,0.234,0,0
50,730,278,0.234,0,0
50,731,293,0.234,0,0
50,1928,293,0.234,0,0
50,1929,308,0.234,0,0
50,2088,308,0.234,0,0
50,2089,278,0.234,0,0
50,3866,278,0.234,0,0
50,3867,293,0.234,0,0
50,4395,293,0.234,0,0
50,4396,308,0.234,0,0
50,4730,308,0.234,0,0
51,0,278,0.234,0,0
51,240,278,0.234,0,0
51,241,293,0.234,0,0
51,1437,293,0.234,0,0
51,1438,308,0.234,0,0
51,1598,308,0.234,0,0
51,1599,278,0.234,0,0
51,3376,278,0.234,0,0
51,3377,293,0.234,0,0
51,3904,293,0.234,0,0
51,3905,308,0.234,0,0
51,4241,308,0.234,0,0
52,0,278,0.27,0,0
52,730,278,0.27,0,0
52,731,293,0.27,0,0
52,1927,293,0.27,0,0
52,1928,308,0.27,0,0
